source_id,title,publisher,url,checked_on,validity,fare_regime,source_kind,operator_keys,agency_names,countries,access,verification,reuse,usable_for,limitations,next_step,audit_files
DACH_BWTARIF,"bwtarif Anlage 8, single-fare price table",bwtarif / bwegt,https://www.bwegt.de/fileadmin/media/PDF/bwtarif-Dokumente/bwtarif_Anlage-8-Preisliste-Relationstarif_14-12-2025.pdf,2026-09-09,14.12.2025; conditions linked on bwegt valid 01.04.2026.,published_tariff,pdf_price_table,DB|SAB|Arverio|NVBW,DB Fernverkehr AG|DB Regio AG Bayern|DB Regio AG NRW|DB AG|SÜWEX|DB Fernverkehr (Codesharing)|DB Regio AG Südost|DB Regio Mitte|DB Regio AG Nordost|DB ZugBus Regionalverkehr Alb-Bodensee GmbH|DB Regio AG Baden-Württemberg|DB Regio AG Mitte Region Südwest|DB Regio AG Nord|DB Regio Stuttgart GmbH|Deutsche Bahn AG|Schwäbische Alb-Bahn|NVBW|rab|DB Regio AG|Arverio Baden-Württemberg|DB SEV GmbH|DB RegioNetz Verkehrs GmbH Südostbayernbahn|DB RegioNetz Verkehrs GmbH Kurhessenbahn|Go-Ahead Bayern GmbH|Busverkehr-Rhein-Neckar,DE,Public webpage/PDF; no login observed.,Opened 19-page PDF with tariff-distance/class price columns.,Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Baden-Württemberg cross-Verbund normal products after official tariff-distance resolution.,Need bwtarif route/zone connections and local-tariff precedence; NVBW is not one fare-setting carrier.,Acquire rules and tariff-distance/connection dataset; do not substitute physical kilometres.,dach.json
DACH_DB_AGB,DB national/international conditions and supplementary price list,DB Fernverkehr AG / DB Regio AG,https://www.bahn.de/agb,2026-09-09,National conditions 01.09.2026; price list 01.06.2026; SCIC-DB 01.08.2026.,mixed,tariff_rules,DB,DB Fernverkehr AG|DB Regio AG Bayern|DB Regio AG NRW|DB AG|SÜWEX|DB Fernverkehr (Codesharing)|DB Regio AG Südost|DB Regio Mitte|DB Regio AG Nordost|DB ZugBus Regionalverkehr Alb-Bodensee GmbH|DB Regio AG Baden-Württemberg|DB Regio AG Mitte Region Südwest|DB Regio AG Nord|DB Regio Stuttgart GmbH|Deutsche Bahn AG|rab|DB Regio AG|DB SEV GmbH|DB RegioNetz Verkehrs GmbH Südostbayernbahn|DB RegioNetz Verkehrs GmbH Kurhessenbahn|Busverkehr-Rhein-Neckar,DE,Public webpage/PDF; no login observed.,Opened index and 30-page Preisliste. It contains supplementary/City-Ticket prices; a complete long-distance OD base-fare matrix was not established.,Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,"Product rules, supplements, international conditions and archival entry point.",The title Preisliste does not establish calculable Flexpreis/Sparpreis for every OD/date.,Acquire scoped BB/SCIC and supplements; search a licensed distribution source for missing base fares.,dach.json
DACH_DB_FLEX,DB Flexpreis product and price determinants,DB Fernverkehr AG,https://www.bahn.de/angebot/sparpreis-flexpreis/flexpreis,2026-09-09,Current product page checked 09.09.2026.,mixed,tariff_rules,DB,DB Fernverkehr AG|DB Regio AG Bayern|DB Regio AG NRW|DB AG|SÜWEX|DB Fernverkehr (Codesharing)|DB Regio AG Südost|DB Regio Mitte|DB Regio AG Nordost|DB ZugBus Regionalverkehr Alb-Bodensee GmbH|DB Regio AG Baden-Württemberg|DB Regio AG Mitte Region Südwest|DB Regio AG Nord|DB Regio Stuttgart GmbH|Deutsche Bahn AG|rab|DB Regio AG|DB SEV GmbH|DB RegioNetz Verkehrs GmbH Südostbayernbahn|DB RegioNetz Verkehrs GmbH Kurhessenbahn|Busverkehr-Rhein-Neckar,DE,Public webpage/PDF; no login observed.,"Official page states price depends on route, booking date and travel date.",Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Define quote scenario inputs and benchmark product semantics.,"Dynamic here means variable date/booking-dependent price, not necessarily seat-inventory control for Flexpreis; no full public base table verified.","Obtain authorized fare distribution/retail observations with timestamp, OD, itinerary and product.",dach.json
DACH_DTV_DISTANCES,"Deutschlandtarif Entfernungswerk: tariff points, distances, routes, equivalences",DB publication of Deutschlandtarif Entfernungswerk,https://www.bahn.de/agb,2026-09-09,Preface edition 14.12.2025; each component needs version capture.,published_tariff,tariff_rules,DB|HLB|Transdev|NETINERA|National Express Rail|agilis|Eurobahn|Abellio Rail Mitteldeutschland|SAB|Arverio|WestfalenBahn|Erfurter Bahn|RATH,DB Fernverkehr AG|DB Regio AG Bayern|Hessische Landesbahn GmbH|DB Regio AG NRW|DB AG|SÜWEX|DB Fernverkehr (Codesharing)|DB Regio AG Südost|DB Regio Mitte|National Express|DB Regio AG Nordost|agilis|DB ZugBus Regionalverkehr Alb-Bodensee GmbH|DB Regio AG Baden-Württemberg|DB Regio AG Mitte Region Südwest|DB Regio AG Nord|Eurobahn|Mitteldeutsche Regiobahn|DB Regio Stuttgart GmbH|Deutsche Bahn AG|Abellio Rail Mitteldeutschland GmbH|Schwäbische Alb-Bahn|vlexx|rab|NordWestBahn|Bayerische Regiobahn|DB Regio AG|Arverio Baden-Württemberg|DB SEV GmbH|DB RegioNetz Verkehrs GmbH Südostbayernbahn|DB RegioNetz Verkehrs GmbH Kurhessenbahn|trilex-express - Die Länderbahn GmbH DLB|trilex  - Die Länderbahn GmbH DLB|Erfurter Bahn|WestfalenBahn|erixx|Go-Ahead Bayern GmbH|Busverkehr-Rhein-Neckar|Ostdeutsche Eisenbahn GmbH|VIAS GmbH|S-Bahn Hannover,DE,Public webpage/PDF; no login observed.,Landing page exposes eight component PDFs including Streckenentfernungen and Grundentfernungen/Wegetexte. Preface opened: tariff distance uses base and feeder distances plus route constraints.,Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Official OD tariff-distance engine; not geographic or track-distance regression.,Large component PDFs listed (32/21 MB); two large downloads failed in web reader. No complete parse or OD test yet.,Acquire all eight linked files and version/hash them; implement route-aware tariff distance. Preface: https://assets.static-bahn.de/dam/jcr:2ea47df2-4c70-434c-9837-17d710eb1a96/1%20Vorbemerkungen%20Entfernungswerk.2025-12-12-09-19-14.pdf,dach.json
DACH_DTV_PRICES,Deutschlandtarif Teil J: Preisliste,Deutschlandtarifverbund GmbH,https://www.deutschlandtarifverbund.de/wp-content/uploads/2025/12/20251118_J_Preisliste_D-Tarif_Dez.2025.pdf,2026-09-09,14.12.2025; listed as current on 09.09.2026.,published_tariff,pdf_price_table,DB|HLB|Transdev|NETINERA|National Express Rail|agilis|Eurobahn|Abellio Rail Mitteldeutschland|SAB|Arverio|WestfalenBahn|Erfurter Bahn|RATH,DB Fernverkehr AG|DB Regio AG Bayern|Hessische Landesbahn GmbH|DB Regio AG NRW|DB AG|SÜWEX|DB Fernverkehr (Codesharing)|DB Regio AG Südost|DB Regio Mitte|National Express|DB Regio AG Nordost|agilis|DB ZugBus Regionalverkehr Alb-Bodensee GmbH|DB Regio AG Baden-Württemberg|DB Regio AG Mitte Region Südwest|DB Regio AG Nord|Eurobahn|Mitteldeutsche Regiobahn|DB Regio Stuttgart GmbH|Deutsche Bahn AG|Abellio Rail Mitteldeutschland GmbH|Schwäbische Alb-Bahn|vlexx|rab|NordWestBahn|Bayerische Regiobahn|DB Regio AG|Arverio Baden-Württemberg|DB SEV GmbH|DB RegioNetz Verkehrs GmbH Südostbayernbahn|DB RegioNetz Verkehrs GmbH Kurhessenbahn|trilex-express - Die Länderbahn GmbH DLB|trilex  - Die Länderbahn GmbH DLB|Erfurter Bahn|WestfalenBahn|erixx|Go-Ahead Bayern GmbH|Busverkehr-Rhein-Neckar|Ostdeutsche Eisenbahn GmbH|VIAS GmbH|S-Bahn Hannover,DE,Public webpage/PDF; no login observed.,"Opened 144-page price document; money by tariff-km, class, single/return and other products is present.",Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Regional-rail normal fares after valid tariff-distance/routing lookup.,Not ICE/IC pricing. Land/Verbund precedence and participating route scope must be checked.,Parse Part J; join to DTV Entfernungswerk; retain tariff precedence.,dach.json
DACH_DTV_RULES,"Deutschlandtarif Teil A: scope, precedence and participating EVUs",Deutschlandtarifverbund GmbH,https://www.deutschlandtarifverbund.de/wp-content/uploads/2026/06/20260528_A-1-TB-DT-Grundsaetze_Juni2026.pdf,2026-09-09,14.06.2026.,published_tariff,tariff_rules,DB|HLB|Transdev|NETINERA|National Express Rail|agilis|Eurobahn|Abellio Rail Mitteldeutschland|SAB|Arverio|WestfalenBahn|Erfurter Bahn|RATH,DB Fernverkehr AG|DB Regio AG Bayern|Hessische Landesbahn GmbH|DB Regio AG NRW|DB AG|SÜWEX|DB Fernverkehr (Codesharing)|DB Regio AG Südost|DB Regio Mitte|National Express|DB Regio AG Nordost|agilis|DB ZugBus Regionalverkehr Alb-Bodensee GmbH|DB Regio AG Baden-Württemberg|DB Regio AG Mitte Region Südwest|DB Regio AG Nord|Eurobahn|Mitteldeutsche Regiobahn|DB Regio Stuttgart GmbH|Deutsche Bahn AG|Abellio Rail Mitteldeutschland GmbH|Schwäbische Alb-Bahn|vlexx|rab|NordWestBahn|Bayerische Regiobahn|DB Regio AG|Arverio Baden-Württemberg|DB SEV GmbH|DB RegioNetz Verkehrs GmbH Südostbayernbahn|DB RegioNetz Verkehrs GmbH Kurhessenbahn|trilex-express - Die Länderbahn GmbH DLB|trilex  - Die Länderbahn GmbH DLB|Erfurter Bahn|WestfalenBahn|erixx|Go-Ahead Bayern GmbH|Busverkehr-Rhein-Neckar|Ostdeutsche Eisenbahn GmbH|VIAS GmbH|S-Bahn Hannover,DE,Public webpage/PDF; no login observed.,"Opened 26-page document; Annex I names DB Regio, HLB, agilis, Arverio, MRB, National Express Rail, NWB, ODEG, DLB, eurobahn and other EVUs.",Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Route/product applicability and operator participation validation.,Participation is not proof every service/OD uses DTV; international and local tariff rules remain necessary.,Join operator participation to route/trip identifiers and tariff jurisdiction.,dach.json
DACH_FLIXTRAIN,FlixTrain tariff provisions and OD minimum/maximum lists,FlixTrain GmbH,https://www.flixtrain.de/tarifbestimmungen,2026-09-09,Linked PDFs dated 23.07.2024; still labelled current on page checked 09.09.2026.,published_fare_ladder,pdf_price_table,FlixTrain,FlixTrain-de,DE|CH,Public webpage/PDF; no login observed.,Opened FLX10/11 six-page OD list; columns are minimum and maximum prices. FLX20/30/35 lists also linked.,Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Published OD fare bounds and rule-based purchase-channel distinctions.,Not complete intermediate fare ladder or available fare. Older table date requires 2026 route/version confirmation.,Acquire all lists; retain bounds separately from booking quotes/inventory.,dach.json
DACH_GOON,go.on tariff applicability,go.on Gesellschaft für Bus- und Schienenverkehr mbH,https://www.go-on-gbs.de/tickets-und-tarife/,2026-09-09,Current official page checked 09.09.2026.,published_tariff,tariff_rules,go.on,go.on Gesellschaft für Bus- und Schienenverkehr mbH,DE,Public webpage/PDF; no login observed.,Official operator page points to WestfalenTarif and NRW-Tarif.,Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Evidence linking operator bus services to relevant tariff families.,No universal go.on price; line/location still required.,Map the GTFS route to Westfalen region or NRW itinerary.,dach.json
DACH_HVV,hvv Gemeinschaftstarif and line-by-line tariff assessment files,Hamburger Verkehrsverbund,https://www.hvv.de/de/gemeinschaftstarif,2026-09-09,Conditions 01.09.2026; cash-ticket prices valid 01.01.2026.,published_tariff,pdf_price_table,HVV|DB|Transdev|NETINERA,DB Fernverkehr AG|DB Regio AG Bayern|DB Regio AG NRW|DB AG|SÜWEX|DB Fernverkehr (Codesharing)|DB Regio AG Südost|DB Regio Mitte|DB Regio AG Nordost|Hamburger Verkehrsverbund (hvv)|DB ZugBus Regionalverkehr Alb-Bodensee GmbH|DB Regio AG Baden-Württemberg|DB Regio AG Mitte Region Südwest|DB Regio AG Nord|Mitteldeutsche Regiobahn|DB Regio Stuttgart GmbH|Deutsche Bahn AG|vlexx|rab|NordWestBahn|Bayerische Regiobahn|DB Regio AG|DB SEV GmbH|DB RegioNetz Verkehrs GmbH Südostbayernbahn|DB RegioNetz Verkehrs GmbH Kurhessenbahn|trilex-express - Die Länderbahn GmbH DLB|trilex  - Die Länderbahn GmbH DLB|erixx|Busverkehr-Rhein-Neckar|Ostdeutsche Eisenbahn GmbH|S-Bahn Hannover,DE,Public webpage/PDF; no login observed.,Opened 64-page current tariff PDF and index of directional line/fare-assessment files.,Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Zone/ring/short-trip price resolution for services within hvv tariff scope.,"Line, direction, boarding and alighting data required; northern agency brands alone insufficient.","Acquire relevant line files, rules and tables; test boundary/short-trip cases.",dach.json
DACH_MVV,MVV current ticket and price overview,Münchner Verkehrs- und Tarifverbund,https://www.mvv-muenchen.de/tickets-abos-preise/rund-um-tickets/ticket-und-preisuebersicht,2026-09-09,Price overview valid 01.01.2026; page lists update 08.05.2026.,published_tariff,pdf_price_table,MVV|DB|Transdev|Arverio,DB Fernverkehr AG|DB Regio AG Bayern|DB Regio AG NRW|DB AG|SÜWEX|DB Fernverkehr (Codesharing)|DB Regio AG Südost|DB Regio Mitte|DB Regio AG Nordost|DB ZugBus Regionalverkehr Alb-Bodensee GmbH|DB Regio AG Baden-Württemberg|DB Regio AG Mitte Region Südwest|DB Regio AG Nord|Mitteldeutsche Regiobahn|DB Regio Stuttgart GmbH|Deutsche Bahn AG|rab|NordWestBahn|Bayerische Regiobahn|DB Regio AG|Arverio Baden-Württemberg|DB SEV GmbH|DB RegioNetz Verkehrs GmbH Südostbayernbahn|DB RegioNetz Verkehrs GmbH Kurhessenbahn|Go-Ahead Bayern GmbH|Busverkehr-Rhein-Neckar|Münchner Verkehrs- und Tarifverbund|S-Bahn Hannover,DE,Public webpage/PDF; no login observed.,Opened official current product/download page; zone system documented at https://www.mvv-muenchen.de/tickets-und-abos/rund-um-tickets/tarifsystem/zonen-und-fahrpreisermittlung,Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,MVV zone tariffs for matching journeys.,2026 network expansion and boundary-zone rules require stop-level mapping.,"Acquire applicable 2026 zone map, monetary PDF and Gemeinschaftstarif; validate boundary cases.",dach.json
DACH_NIEDERSACHSEN,Niedersachsentarif price matrix,Niedersachsentarif GmbH,https://www.niedersachsentarif.de/wp-content/uploads/2025/12/Preismatrix_Niedersachsentarif_gueltig_ab_14.12.2025.pdf,2026-09-09,14.12.2025; current conditions valid 01.09.2026.,published_tariff,pdf_price_table,DB|Transdev|NETINERA|WestfalenBahn,DB Fernverkehr AG|DB Regio AG Bayern|DB Regio AG NRW|DB AG|SÜWEX|DB Fernverkehr (Codesharing)|DB Regio AG Südost|DB Regio Mitte|DB Regio AG Nordost|DB ZugBus Regionalverkehr Alb-Bodensee GmbH|DB Regio AG Baden-Württemberg|DB Regio AG Mitte Region Südwest|DB Regio AG Nord|Mitteldeutsche Regiobahn|DB Regio Stuttgart GmbH|Deutsche Bahn AG|vlexx|rab|NordWestBahn|Bayerische Regiobahn|DB Regio AG|DB SEV GmbH|DB RegioNetz Verkehrs GmbH Südostbayernbahn|DB RegioNetz Verkehrs GmbH Kurhessenbahn|trilex-express - Die Länderbahn GmbH DLB|trilex  - Die Länderbahn GmbH DLB|WestfalenBahn|erixx|Busverkehr-Rhein-Neckar|Ostdeutsche Eisenbahn GmbH|S-Bahn Hannover,DE,Public webpage/PDF; no login observed.,"Opened 58-page PDF, single/return/group fare prices by tariff distance, class and discount.",Publicly readable; no explicit open-data reuse licence verified. Preserve source/version and review reuse terms before redistribution.,Regional-rail normal fares within Niedersachsen tariff scope.,Official distance assignment and local/through-product precedence still needed.,Acquire conditions from https://www.niedersachsentarif.de/service-kontakt/befoerderungsbedingungen/ and verify distance source.,dach.json
